ברקוד,מותג,יצרן,שם מוצר,מועד עדכון ברקודים,סטאטוס סימון
7290002814511,קומפלקס כימיקליים,קומפלקס כימיקליים,סבונומיקה 4 ליטר,ברקודים חדשים,
7290002814528,קומפלקס כימיקליים,קומפלקס כימיקליים,"NO"" 1לניקוי אסלות 1 ליטר",ברקודים חדשים,
7290002814573,קומפלקס כימיקליים,קומפלקס כימיקליים,"שקית מילוי חלונית 500 מ""ל",ברקודים חדשים,
7290002814580,קומפלקס כימיקליים,קומפלקס כימיקליים,טורנדו גרגרים לפתיחת סתימות 200 גרם,ברקודים חדשים,
7290002814597,קומפלקס כימיקליים,קומפלקס כימיקליים,טורנדו נוזל לפתיחת סתימות 1 ליטר,ברקודים חדשים,
7290002814603,קומפלקס כימיקליים,קומפלקס כימיקליים,"מסיר שומנים קר מבושם מתז 750 מ""ל",ברקודים חדשים,
7290002814689,קומפלקס כימיקליים,קומפלקס כימיקליים,שמפו כלים 750 ירוק שלישיה,ברקודים חדשים,
7290002814719,קומפלקס כימיקליים,קומפלקס כימיקליים,זוג מבהיק אסלות,ברקודים חדשים,
7290002814788,קומפלקס כימיקליים,קומפלקס כימיקליים,חלונית זוג,ברקודים חדשים,
7290002814801,קומפלקס כימיקליים,קומפלקס כימיקליים,ריחנית 5 ליטר,ברקודים חדשים,
7290002814917,קומפלקס כימיקליים,קומפלקס כימיקליים,רצפות בניחוח לבנדר 4 ליטר,ברקודים חדשים,
7290002814955,קומפלקס כימיקליים,קומפלקס כימיקליים,שמפו כלים ירוק ריחני 4 ליטר,ברקודים חדשים,
7290002824183,שטראוס,מחלבה,סקי משפחתי 5%,ברקודים חדשים,
7290002824466,שטראוס,מחלבה,דנונה ביו  0% 200 גרם,ברקודים חדשים,
7290002824640,שטראוס,מחלבה,סקי 5% 250 גרם,ברקודים חדשים,כן
7290002825722,שטראוס,אחלה,כרוב אדום 500,ברקודים חדשים,כן
7290002825722,שטראוס,אחלה,כרוב אדום 575 גרם,ברקודים חדשים,כן
7290002826248,יוניליוור,שטראוס,"שטראוס שלגון כדורגל מיוחד 115 מ""ל",ברקודים חדשים,
7290002826477,יוניליוור,שטראוס,"שטראוס שלגון בומבה וניל 105 מ""ל",ברקודים חדשים,
7290002826477,יוניליוור,שטראוס,"שטראוס שלגון בומבה וניל 105 מ""ל",ברקודים חדשים,
7290002826507,יוניליוור,שטראוס,שטראוס שוקולטה 5.5 ל',ברקודים חדשים,
7290002826507,יוניליוור,שטראוס,שטראוס שוקולטה 5.5 ל',ברקודים חדשים,
7290002826514,יוניליוור,שטראוס,שטראוס ונילה קרם 5.5 ל',ברקודים חדשים,
7290002826514,יוניליוור,שטראוס,שטראוס ונילה קרם 5.5 ל',ברקודים חדשים,
7290002826538,יוניליוור,שטראוס,שטראוס שרבט תות 5.5 ל',ברקודים חדשים,
7290002826538,יוניליוור,שטראוס,שטראוס שרבט תות 5.5 ל',ברקודים חדשים,
7290002826804,יוניליוור,שטראוס,"שטראוס פרוזן יוגורט 154 מ""ל",ברקודים חדשים,
7290002826804,יוניליוור,שטראוס,"שטראוס פרוזן יוגורט 154 מ""ל",ברקודים חדשים,
7290002826835,יוניליוור,שטראוס,"שטראוס שוקובו 110 מ""ל",ברקודים חדשים,
7290002826835,יוניליוור,שטראוס,"שטראוס שוקובו 110 מ""ל",ברקודים חדשים,
7290002868545,החברה המרכזית,טרה,יוגורט 4% - בכד 3 ליטר ,ברקודים חדשים,
7290002868996,החברה המרכזית,טרה,קוטג' 5%  250 גרם ,ברקודים חדשים,
7290002871446,מבשלות בירה ישראליות,פריגת,ענבים בק' פט עגול 1.5 12 קרטון,ברקודים חדשים,
7290002871446,מבשלות בירה ישראליות,פריגת,"ענבים בק' פט 1.5 12 קרטון-כשל""פ",ברקודים חדשים,
7290002871460,מבשלות בירה ישראליות,פריגת,תפוזים בק' פט עגול 1.5 12 קרטון,ברקודים חדשים,
7290002871460,מבשלות בירה ישראליות,פריגת,"תפוזים בק' פט 1.5 12 קרטון-כשל""פ",ברקודים חדשים,
7290002871477,מבשלות בירה ישראליות,פריגת,"אשכוליות בק' פט 1.5 12 קרטון-כשל""פ",ברקודים חדשים,
7290002871477,מבשלות בירה ישראליות,פריגת,אשכוליות בק' פט עגול 1.5 12 קרטון,ברקודים חדשים,
7290002871484,מבשלות בירה ישראליות,פריגת,תפוזים Light בק' פט עגול 1.5 12 קרטון,ברקודים חדשים,
7290002871484,מבשלות בירה ישראליות,פריגת,"תפוזים Light בק' פט 1.5 12 קרטון-כשל""פ",ברקודים חדשים,
7290002871491,מבשלות בירה ישראליות,פריגת,"אשכוליות Light בק' 1.5 12 קרטון-כשל""פ",ברקודים חדשים,
7290002871491,מבשלות בירה ישראליות,פריגת,אשכוליות Light בק עגול 1.5 12 קרטון,ברקודים חדשים,
7290002900313,תנובה,תנובה,פסטרמה ספרדית,ברקודים חדשים,
7290002900436,תנובה,תנובה,פסטרמה איטלקית מילנו ,ברקודים חדשים,
7290002900566,תנובה,תנובה,פסטרמה ברביקיו דל שומן 400 גרם,ברקודים חדשים,
7290002923190,טיבון ויל,טיבון ויל,שניצלוני צ'ונגו בשומ,ברקודים חדשים,
7290002923466,טיבון ויל,טיבון ויל,טחון בקר 1 קג,ברקודים חדשים,
7290002987963,שטראוס,אחלה,חומוס אחלה 1 קג,ברקודים חדשים,כן
7290002987963,שטראוס,אחלה,חומוס 1.2 קג,ברקודים חדשים,כן
7290003023165,יטבתה,יטבתה,שוקו יטבתה כד 2 ליטר  מהדרין,ברקודים חדשים,
7290003023165,יטבתה,יטבתה,שוקו יטבתה כד 2 ליטר- מחיר,ברקודים חדשים,
7290003029037,יטבתה,יטבתה,שוקו חצי ליטר קרטון  מהדרין,ברקודים חדשים,
7290003029181,יטבתה,יטבתה,שוקו 1 ליטר בקבוק מהדרין,ברקודים חדשים,
7290003029266,יטבתה,יטבתה,מילק שייק שוקו מהדרין,ברקודים חדשים,
7290003029372,יטבתה,יטבתה,1 ליטר משקה בננה מהדרין,ברקודים חדשים,
7290003029389,יטבתה,יטבתה,"בננה פקק 250 מ""ל מהדרין",ברקודים חדשים,
7290003029433,יטבתה,יטבתה,שוקו פקק 250 מל מהדרין,ברקודים חדשים,
7290003029532,יטבתה,יטבתה,מוקה בקבוק 1 ליטר מהדרין,ברקודים חדשים,
7290003029617,יטבתה,יטבתה,שמנת מנה אישית 100 גרם- מהדרין,ברקודים חדשים,
7290003029792,יטבתה,יטבתה,מארז 8 שקיות שוקו- מהדרין (חדש),ברקודים חדשים,
7290003029815,יטבתה,יטבתה,כד 2 ליטר חלב 3%- מהדרין,ברקודים חדשים,כן
7290003029815,יטבתה,יטבתה,כד 2 ליטר חלב 3%- מהדרין מבצע,ברקודים חדשים,כן
7290003029884,יטבתה,יטבתה,מארז 6 שקיות מוקה (חדש) מהדרין,ברקודים חדשים,
7290003029907,יטבתה,יטבתה,אייס קפה 1 ליטר יטבתה מהדרין,ברקודים חדשים,
7290003031702,תנובה,תנובה,"נקניקיות הודו ק""ג בכשרות הרב מחפוד",ברקודים חדשים,
7290003031719,תנובה,תנובה,נקניקיות הודו תפז' בכשרות הרב מחפוד,ברקודים חדשים,
7290003031733,תנובה,תנובה,פסטרמה גחלים בכשרות הרב מחפוד,ברקודים חדשים,
7290003031740,תנובה,תנובה,פסטרמה בדבש בכשרות הרב מחפוד,ברקודים חדשים,
7290003031757,תנובה,תנובה,פסטרמה פפריקה 400 גרם בכשרות הרב מחפוד,ברקודים חדשים,
7290003031788,תנובה,תנובה,מארז צמד חלק בכשרות הרב מחפוד,ברקודים חדשים,
7290003031849,תנובה,תנובה,צמד מהדרין 600 גר' בכשרות הרב מחפוד,ברקודים חדשים,
7290003060009,"טחנות ישראליות בע""מ","טחנות ישראליות בע""מ",קמח חיטה לבן בהיר,ברקודים חדשים,
7290003060016,"טחנות ישראליות בע""מ","טחנות ישראליות בע""מ",קמח חיטה לבן בהיר רב תכליתי מועשר בויטמינים ומינרלים,ברקודים חדשים,
7290003060023,"טחנות ישראליות בע""מ","טחנות ישראליות בע""מ",סולת חיטה,ברקודים חדשים,
7290003060030,"טחנות ישראליות בע""מ","טחנות ישראליות בע""מ",קמח חיטה מלא,ברקודים חדשים,
7290003060047,"טחנות ישראליות בע""מ","טחנות ישראליות בע""מ",קמח תופח,ברקודים חדשים,
7290003060061,"טחנות ישראליות בע""מ","טחנות ישראליות בע""מ",קמח כוסמין מלא,ברקודים חדשים,
7290003060078,"טחנות ישראליות בע""מ","טחנות ישראליות בע""מ",קמח שיפון מלא,ברקודים חדשים,
7290003060085,"טחנות ישראליות בע""מ","טחנות ישראליות בע""מ",קמח חיטה לאפית לחמים וחלות מועשר בויטמינים ומינרלים,ברקודים חדשים,
7290003060177,"טחנות ישראליות בע""מ","טחנות ישראליות בע""מ",קמח פרימיום,ברקודים חדשים,
7290003060276,בר רב מפעלי תעשיה,"ישבר קמחים בע""מ",קמח חיטה לבן בהיר מנופה,ברקודים חדשים,
7290003060283,בר רב מפעלי תעשיה,"ישבר קמחים בע""מ",קמח תופח מנופה,ברקודים חדשים,
7290003060290,בר רב מפעלי תעשיה,"ישבר קמחים בע""מ",קמח חיטה מלא מנופה,ברקודים חדשים,
7290003060306,בר רב מפעלי תעשיה,"ישבר קמחים בע""מ",קמח שיפון מנופה,ברקודים חדשים,
7290003060313,בר רב מפעלי תעשיה,"ישבר קמחים בע""מ",קמח כוסמין מנופה,ברקודים חדשים,
7290003060320,בר רב מפעלי תעשיה,"ישבר קמחים בע""מ",קמח לחם וחלות מנופה,ברקודים חדשים,
7290003060344,בר רב מפעלי תעשיה,"ישבר קמחים בע""מ",קמח פיצה מנופה,ברקודים חדשים,
7290003060351,בר רב מפעלי תעשיה,"ישבר קמחים בע""מ",קמח חיטה מלא 80% מנופה,ברקודים חדשים,
7290003060368,בר רב מפעלי תעשיה,"ישבר קמחים בע""מ",קמח כוסמין מלא 80% מנופה,ברקודים חדשים,
7290003067015,סלטי שמיר,סלטי שמיר,חציל קלוי על האש 2ק''ג,ברקודים חדשים,
7290003067121,סלטי שמיר,סלטי שמיר,"קישואים בטעם כבד 2ק""ג",ברקודים חדשים,
7290003067428,סלטי שמיר,סלטי שמיר,"חומוס מסעדות 3ק""ג",ברקודים חדשים,
7290003067688,סלטי שמיר,סלטי שמיר,"חציל רומני קלוי 2ק""ג",ברקודים חדשים,
7290003067695,סלטי שמיר,סלטי שמיר,"חציל טבעי קלוי 2ק""ג (סלוניקי)",ברקודים חדשים,
7290003069088,טיבון ויל,טיבון ויל,שוארמה פרג גדול משופ,ברקודים חדשים,
7290003072125,תנובה,תנובה,פסטרמה עגל בסגנון רומני ,ברקודים חדשים,
7290003072132,תנובה,תנובה,"נקניקיות  צ'וריסוס 24 ס""מ",ברקודים חדשים,
7290003072200,תנובה,תנובה,פסטרמה בסגנון מקסיקני,ברקודים חדשים,
7290003119110,החברה המרכזית,קוקה קולה,קוקה קולה שישיות 1.5 ליטר,ברקודים חדשים,
7290003119110,החברה המרכזית,קוקה קולה,6 שרינק קוקה קולה 1.5 ל',ברקודים חדשים,
7290003119165,החברה המרכזית,קוקה קולה,דיאט קוקה קולה שישיות 1.5 ליטר,ברקודים חדשים,
7290003126033,החברה המרכזית,משק צוריאל,"גבינת שמנת 30% שום שמיר 1.9 ק""ג",ברקודים חדשים,
7290003126712,החברה המרכזית,משק צוריאל,יוגורט עיזים טבעי 150 גרם,ברקודים חדשים,
7290003126804,החברה המרכזית,משק צוריאל,"גבינת שמנת 30% זיתים 1.9 ק""ג ",ברקודים חדשים,
7290003185719,טיבון ויל,טיבון ויל,קבב רומני 500 גרם,ברקודים חדשים,
7290003185726,טיבון ויל,טיבון ויל,קבב מזרחי 500 גרם,ברקודים חדשים,
7290003187508,טיבון ויל,טיבון ויל,שניצל אמיתי עוף צעיר,ברקודים חדשים,
7290003187843,טיבון ויל,טיבון ויל,טחון עגל 100% בשר,ברקודים חדשים,
7290003219347,א. ברמן,ברמן,אחיד פרוס שופרסל,ברקודים חדשים,
7290003229109,תנובה,תנובה,פסטרמה בפפריקה 400 גרם,ברקודים חדשים,
7290003229116,תנובה,תנובה,פסטרמה בדבש 400 גרם,ברקודים חדשים,
7290003229123,תנובה,תנובה,פסטרמה גחלים 400 גרם,ברקודים חדשים,
7290003229147,תנובה,תנובה,סלמי איטלקי 300 גרם,ברקודים חדשים,
7290003229154,תנובה,תנובה,קוניאק מובחר 300 גרם,ברקודים חדשים,
7290003229192,תנובה,תנובה,כתף בקר מעושן 400 גרם,ברקודים חדשים,
7290003229208,תנובה,תנובה,פסטרמה ספרדית 360 גרם,ברקודים חדשים,
7290003229215,תנובה,תנובה,פסטרמה איטלקית 360 ג',ברקודים חדשים,
7290003229222,תנובה,תנובה,סלמי תה משובח 300גרם,ברקודים חדשים,
7290003231003,יוניליוור,תלמה,מיוקל שמן זית 500גר,ברקודים חדשים,מסמן בפועל
7290003231508,יוניליוור,פינוק,פינוק שמפו עם קרטין 700 מל,ברקודים חדשים,
7290003231607,יוניליוור,פינוק,פינוק מרכך שיער עם קרטין 700 מל,ברקודים חדשים,
7290003287253,בלדי,בני ציון,נקניקיות מרגז 500 גרם (הקצביה) 8 יח',ברקודים חדשים,מסמן בפועל
7290003287260,בלדי,בני ציון,נקניקיות צ'וריסוס 600 גרם (הקצביה) 8 יח',ברקודים חדשים,מסמן בפועל
7290003287284,בלדי,בני ציון,קבב ביתי 600 גרם (הקצביה) 8 יח',ברקודים חדשים,מסמן בפועל
7290003287291,בלדי,בני ציון,קבב טלה וצנובר 600 גרם (הקצביה) 8 יח',ברקודים חדשים,מסמן בפועל
7290003287307,בלדי,בני ציון,קבב רומני 600 גרם (הקצביה) 8 יח',ברקודים חדשים,מסמן בפועל
7290003287314,בלדי,בני ציון,קבב על מקל קינמון 520 גרם (הקצביה) 8 יח',ברקודים חדשים,מסמן בפועל
7290003321155,שטראוס,מחלבה,דנונה בר פקאן,ברקודים חדשים,
7290003321292,שטראוס,מחלבה,סקי 9% 250 גרם,ברקודים חדשים,
7290003355860,טיבון ויל,טיבון ויל,סטרוגנוף הודו,ברקודים חדשים,
7290003356171,טיבון ויל,טיבון ויל,מעורב ירושלמי מהדרין,ברקודים חדשים,
7290003359431,טיבון ויל,טיבון ויל,ניקנש תפזורת,ברקודים חדשים,
7290003361465,טיבון ויל,טיבון ויל,שניצל אמיתי קטן מטוג,ברקודים חדשים,
7290003380350,פרי גליל,טל-14,נקטר אפרסק 1ל,ברקודים חדשים,מסמן על רב המוצרים
7290003385638,פרי גליל,פרי הגליל-1,זיתים ירוקים ללא גלעין א- 2פג,ברקודים חדשים,מסמן על רב המוצרים
7290003385645,פרי גליל,פרי הגליל-1,זית מנז בנוני א -2פג,ברקודים חדשים,מסמן על רב המוצרים
7290003385652,פרי גליל,פרי הגליל-1,זית מנז ג.מאוד א -2פג,ברקודים חדשים,מסמן על רב המוצרים
7290003385669,פרי גליל,פרי הגליל-1,זית מנז גדול א -2פג,ברקודים חדשים,מסמן על רב המוצרים
7290003456277,ביופט,"לה-קט - משווק ע""י דיפלומט","לה-קט 9 ק""ג כבד",ברקודים חדשים,
7290003456284,ביופט,"לה-קט - משווק ע""י דיפלומט","לה-קט 9 ק""ג מיקס",ברקודים חדשים,
7290003457182,יוניליוור,שטראוס,שטראוס מיקס שוקו 5 ל',ברקודים חדשים,
7290003457182,יוניליוור,שטראוס,שטראוס מיקס שוקו 5 ל',ברקודים חדשים,
7290003457861,יוניליוור,סולרו,"סולרו פירות טרופיים 106 מ""ל",ברקודים חדשים,
7290003457861,יוניליוור,סולרו,"סולרו פירות טרופיים 106 מ""ל",ברקודים חדשים,
7290003457892,יוניליוור,קורנטו,"קורנטו וניל 130 מ""ל",ברקודים חדשים,
7290003457922,יוניליוור,מגנום,"מגנום שוקולד 120 מ""ל",ברקודים חדשים,
7290003457922,יוניליוור,מגנום,"מגנום שוקולד 120 מ""ל",ברקודים חדשים,
7290003457946,יוניליוור,מגנום,"מגנום שקדים 125 מ""ל",ברקודים חדשים,
7290003457946,יוניליוור,מגנום,"מגנום שקדים 125 מ""ל",ברקודים חדשים,
7290003457953,יוניליוור,מגנום,"מגנום שוקולד לבן 120 מ""ל",ברקודים חדשים,
7290003457953,יוניליוור,מגנום,"מגנום שוקולד לבן 120 מ""ל",ברקודים חדשים,
7290003457991,יוניליוור,קורנטו,"קורנטו מאגדת קלאסי 678 מ""ל",ברקודים חדשים,
7290003461110,סלטי שמיר,סלטי שמיר,"שום כתוש 3ק""ג",ברקודים חדשים,
7290003461356,סלטי שמיר,סלטי שמיר,"סלק מגורד 3ק""ג",ברקודים חדשים,
7290003461677,סלטי שמיר,סלטי שמיר,"חומוס אסלי 1ק""ג",ברקודים חדשים,
7290003550333,טיבון ויל,טיבון ויל,טחון בקר 500 מ.שומן,ברקודים חדשים,
7290003550937,טיבון ויל,טיבון ויל,רגל פרוסה במגש,ברקודים חדשים,
7290003570928,בלדי,בני ציון,קבב בלדי ארוז 500 גרם (הקצביה) 8 יח',ברקודים חדשים,מסמן בפועל
7290003571338,בלדי,בני ציון,טחון בקר קפוא 1000 גר'/9יח'-מוצפי,ברקודים חדשים,מסמן בפועל
7290003598885,בלדי,בני ציון,טחון בקר קפוא 1000 גר'/9יח',ברקודים חדשים,מסמן בפועל
7290003643325,סוגת,סוגת,קוסקוס בינוני,ברקודים חדשים,
7290003643714,סוגת,סוגת,חומוס,ברקודים חדשים,
7290003643738,סוגת,סוגת,חיטה,ברקודים חדשים,
7290003643776,סוגת,סוגת,פופ קורן,ברקודים חדשים,
7290003648207,סלטי שמיר,סלטי שמיר,"מטיאס הולנדי בשמן 2.5 \ 1.5ק""ג שקיל",ברקודים חדשים,
7290003648276,סלטי שמיר,סלטי שמיר,"סלמון הילטון 1ק""ג",ברקודים חדשים,
7290003648443,סלטי שמיר,סלטי שמיר,"ליונז 3ק""ג",ברקודים חדשים,
7290003667109,החברה המרכזית,קוקה קולה,פאנטה אורנג' 1.5 ליטר,ברקודים חדשים,
7290003667369,מבשלות בירה ישראליות,פריגת,תות בננה בק' פט עגול 1.5 12 קרטון,ברקודים חדשים,
7290003667369,מבשלות בירה ישראליות,פריגת,"תות בננה בק' פט 1.5 12 קרטון-כשל""פ",ברקודים חדשים,
7290003667673,החברה המרכזית,קוקה קולה,דיאט פאנטה אורנג' 1.5 ליטר,ברקודים חדשים,
7290003681167,מיה מוצרי מזון,מיה מוצרי מזון,לדר משמש 100גרם,ברקודים חדשים,מסמן על אריזות
7290003681266,מיה מוצרי מזון,מיה מוצרי מזון,סוכריות ג'לי 100גרם,ברקודים חדשים,
7290003681266,מיה מוצרי מזון,מיה מוצרי מזון,סוכריות ג'לי 100גרם - סגו,ברקודים חדשים,
7290003681266,מיה מוצרי מזון,מיה מוצרי מזון,סוכריות ג'לי 100גרם - כתו,ברקודים חדשים,
7290003681266,מיה מוצרי מזון,מיה מוצרי מזון,סוכריות ג'לי 100גרם -ירוק,ברקודים חדשים,
7290003681266,מיה מוצרי מזון,מיה מוצרי מזון,סוכריות ג'לי 100גרם - אד,ברקודים חדשים,
7290003681266,מיה מוצרי מזון,מיה מוצרי מזון,סוכריות ג'לי 100גרם - ורו,ברקודים חדשים,
7290003681266,מיה מוצרי מזון,מיה מוצרי מזון,חמוץ מוץ 100גרם,ברקודים חדשים,
7290003681341,מיה מוצרי מזון,מיה מוצרי מזון,קונפיטורה תות 340גרם,ברקודים חדשים,מסמן על אריזות
7290003681365,מיה מוצרי מזון,מיה מוצרי מזון,קישוט לעוגה צבעוני בצנצנת,ברקודים חדשים,מסמן על אריזות
7290003681440,מיה מוצרי מזון,מיה מוצרי מזון,גילגולים 300גר 'בצנצנת,ברקודים חדשים,
7290003681457,מיה מוצרי מזון,מיה מוצרי מזון,סוכריות ג'לי 200גרם בצנצנ,ברקודים חדשים,
7290003681532,מיה מוצרי מזון,מיה מוצרי מזון,דובדבנים מסוכרים 80גרם,ברקודים חדשים,
7290003681549,מיה מוצרי מזון,מיה מוצרי מזון,אתרוג מסוכר 150גר,ברקודים חדשים,מסמן על אריזות
7290003681556,מיה מוצרי מזון,מיה מוצרי מזון,תפוז סיני 150גרם במגש,ברקודים חדשים,מסמן על אריזות
7290003681679,מיה מוצרי מזון,מיה מוצרי מזון,כפתורי שוקולד מארז 30 * 30,ברקודים חדשים,
7290003681792,מיה מוצרי מזון,מיה מוצרי מזון,מיה - טופי מתוק 850גרם,ברקודים חדשים,
7290003681921,מיה מוצרי מזון,מיה מוצרי מזון,מיה - טופי מתוק 200גרם,ברקודים חדשים,
7290003681945,מיה מוצרי מזון,מיה מוצרי מזון,מיץ לימון סחוט טבעי 500מ',ברקודים חדשים,מסמן על אריזות
7290003719006,א. ברמן,ברמן,ליבו שיפון מלא 80% (דרניצקי),ברקודים חדשים,
7290003719259,א. ברמן,ברמן,ליבו לחם אקסלוסיבי,ברקודים חדשים,
7290003719280,א. ברמן,ברמן,ליבו לחם דגנים,ברקודים חדשים,
7290003727667,אסם,אסם,צבר חומוס עגול 6*1קג,ברקודים חדשים,
7290003782055,סלטי מיקי,סלטי מיקי,מטבוחה,ברקודים חדשים,
7290003782062,סלטי מיקי,סלטי מיקי,גזר מרוקאי,ברקודים חדשים,
7290003782109,סלטי מיקי,סלטי מיקי,אריסה תוניסאית,ברקודים חדשים,
7290003782116,סלטי מיקי,סלטי מיקי,שום כתוש,ברקודים חדשים,
7290003782239,סלטי מיקי,סלטי מיקי,חזרת,ברקודים חדשים,
7290003782376,סלטי מיקי,סלטי מיקי,מקרל מעושן בואקום,ברקודים חדשים,
7290003782406,סלטי מיקי,סלטי מיקי,איקרה בלקני,ברקודים חדשים,
7290003782413,סלטי מיקי,סלטי מיקי,חומוס,ברקודים חדשים,
7290003782482,סלטי מיקי,סלטי מיקי,מיונז,ברקודים חדשים,
7290003782666,סלטי מיקי,סלטי מיקי,חומוס,ברקודים חדשים,
7290003782673,סלטי מיקי,סלטי מיקי,טחינה,ברקודים חדשים,
7290003782680,סלטי מיקי,סלטי מיקי,חציל במיונז,ברקודים חדשים,
7290003782697,סלטי מיקי,סלטי מיקי,סלט טורקי,ברקודים חדשים,
7290003782734,סלטי מיקי,סלטי מיקי,כרוב שוודי,ברקודים חדשים,
7290003782741,סלטי מיקי,סלטי מיקי,מטבוחה,ברקודים חדשים,
7290003782758,סלטי מיקי,סלטי מיקי,חומוס,ברקודים חדשים,
7290003782765,סלטי מיקי,סלטי מיקי,טחינה,ברקודים חדשים,
7290003782840,סלטי מיקי,סלטי מיקי,פרובנציאל,ברקודים חדשים,
7290003804252,יוניליוור,קנור,קנור תיבוליות הודי 72 גרם,ברקודים חדשים,מסמן בפועל
7290003804320,יוניליוור,קנור,קנור תיבוליות שום 72 גרם,ברקודים חדשים,מסמן בפועל
7290003804368,יוניליוור,קנור,קנור תיבוליות 72 גרם,ברקודים חדשים,מסמן בפועל
7290003804375,יוניליוור,קנור,תיבולית צלי 72 גר,ברקודים חדשים,מסמן בפועל
7290003804382,יוניליוור,קנור,קנור תיבוליות פטריות 72 גרם,ברקודים חדשים,מסמן בפועל
7290003804894,יוניליוור,תלמה,תלמה קורנפלקס מיוחד אלופים רגיל 500 גר,ברקודים חדשים,מסמן בפועל
7290003805501,יוניליוור,פתית,"פתית שוודי בד""צ חדש 300 גר",ברקודים חדשים,מסמן בפועל
7290003805587,יוניליוור,פתית,פתית חיטה 250גר,ברקודים חדשים,מסמן בפועל
7290003805709,יוניליוור,תלמה,כריות נוגט 750גר,ברקודים חדשים,מסמן בפועל
7290003805709,יוניליוור,תלמה,כריות נוגט 750גר,ברקודים חדשים,מסמן בפועל
7290003805716,יוניליוור,קנור,נמס בכוס טעם עוף ויטליטי 48 גר,ברקודים חדשים,מסמן בפועל
7290003805730,יוניליוור,קנור,מרקי אינסטנט אחרים קנור עגבניות 64 גרם,ברקודים חדשים,מסמן בפועל
7290003807178,יוניליוור,קנור,קנור רוטב סויה בסגנון סיני 370 גרם,ברקודים חדשים,מסמן בפועל
7290003807192,יוניליוור,הלמנס,הלמנס רוטב אלף האיים לחיץ 430גר,ברקודים חדשים,מסמן בפועל
7290003807482,יוניליוור,קנור,רוטב טריאקי 390 גר,ברקודים חדשים,מסמן בפועל
7290003808649,יוניליוור,ורד הגליל,ורד הגליל טבלאות שוקולד 200 גרם,ברקודים חדשים,מסמן בפועל
7290003901197,שטראוס,ממתקים,רביעיית חלב אגוז/5יח/400 גר',ברקודים חדשים,
7290003903955,שטראוס,ממתקים - נצרת,שוקולד חלב במלוי חל/12יח/100ג,ברקודים חדשים,
7290003905331,שטראוס,ממתקים,שו.פרה חלב שברי אגוזים בדצ,ברקודים חדשים,
7290003959037,סלטי שמיר,סלטי שמיר,"פלפלים חריפים 2ק""ג",ברקודים חדשים,
7290003959204,סלטי שמיר,סלטי שמיר,"כרוב אדום למעדנייה 3ק,ג",ברקודים חדשים,
7290003959327,סלטי שמיר,סלטי שמיר,"טונה לבנה 2ק""ג",ברקודים חדשים,
7290003959365,סלטי שמיר,סלטי שמיר,"מטבוחה מרוקאית 2ק""ג",ברקודים חדשים,
7290003989096,שטראוס,אחלה,חציל פיקנטי 500,ברקודים חדשים,כן
7290003989096,שטראוס,אחלה,חציל פיקנטי 575 גרם,ברקודים חדשים,כן
7290003989539,שטראוס,אחלה,רביולי גבינה 400 חדש 9יח,ברקודים חדשים,
7290003989553,שטראוס,אחלה,טרטוליני פטריות 400 גר חדש 9 יח,ברקודים חדשים,
7290003992782,סלטי שמיר,סלטי שמיר,"טונה קר מעדנייה 1ק""ג",ברקודים חדשים,
7290004011789,טיבון ויל,טיבון ויל,400 קציצות אלגאוצ'ו,ברקודים חדשים,
7290004011796,טיבון ויל,טיבון ויל,400 קבבונים אלגאוצ'ו,ברקודים חדשים,
7290004011802,טיבון ויל,טיבון ויל,400 צוריסוס אלגאוצ'ו,ברקודים חדשים,
7290004011819,טיבון ויל,טיבון ויל,המבור ריב אנטרי אל ג,ברקודים חדשים,
7290004011826,טיבון ויל,טיבון ויל,מינ המבו ריב אנט אל,ברקודים חדשים,
7290004048716,טיבון ויל,טיבון ויל,חזה צלוי 100 גרם,ברקודים חדשים,
7290004085018,המברשת רוחמה,המברשת רוחמה,"מגב פלסטיק יותם 40 ס""מ",ברקודים חדשים,
7290004085483,המברשת רוחמה,המברשת רוחמה,מטאטא ג'וליה גוף פלסטיק,ברקודים חדשים,
7290004085483,המברשת רוחמה,המברשת רוחמה,מטאטא ג'וליה גוף פלסטיק,ברקודים חדשים,
7290004119010,תנובה,תנובה,שדה רמאדן חבילה 0.5 %25,ברקודים חדשים,
7290004119133,תנובה,תנובה,יוגורט תנובה 6.5% כד 1.5ל,ברקודים חדשים,
7290004119522,תנובה,תנובה,שוקו תנובה שקית 225 מל 2%,ברקודים חדשים,
7290004120214,תנובה,תנובה,שוקו תנובה שקית שוקושלוק 150 מל 2%,ברקודים חדשים,
7290004120269,תנובה,תנובה,שוקו מאגדת שקיות 6*225 מל 2%,ברקודים חדשים,
7290004120634,תנובה,תנובה,פיראוס בולגרית גביע 250 ג %5,ברקודים חדשים,
7290004120832,תנובה,תנובה,חלב תנובה טרי %3 כד 2 ליטר מהדרין,ברקודים חדשים,
7290004121280,תנובה,תנובה,שמנת תנובה  9% חצי מנה גביע 100 מל,ברקודים חדשים,
7290004121839,תנובה,תנובה,פיראוס פטה כבשים 20% 250 גרם,ברקודים חדשים,
7290004121853,תנובה,תנובה,פיראוס קוביות בולגרית %5 200 גרם,ברקודים חדשים,
7290004122119,תנובה,תנובה,פתיתי פרמזן לפסטה 100 %23,ברקודים חדשים,
